Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,46.135715,46.211430,45.901428,46.080002,40.838676,48377000
2011-01-03,46.520000,47.180000,46.405716,47.081429,41.726177,111284600
2011-01-04,47.491428,47.500000,46.878571,47.327145,41.943951,77270200
2011-01-05,47.078571,47.762856,47.071430,47.714287,42.287071,63879900
2011-01-06,47.817142,47.892857,47.557144,47.675713,42.252876,75107200
2011-01-07,47.712856,48.049999,47.414288,48.017143,42.555470,77982800
2011-01-10,48.404285,49.032856,48.167141,48.921429,43.356892,112140000
2011-01-11,49.268570,49.279999,48.495716,48.805714,43.254349,111027000
2011-01-12,49.035713,49.204285,48.857143,49.202858,43.606312,75647600
2011-01-13,49.308571,49.520000,49.121429,49.382858,43.765831,74195100
2011-01-14,49.412857,49.782856,49.205715,49.782856,44.120350,77210000
2011-01-18,47.074287,49.251427,46.571430,48.664288,43.129005,470249500
2011-01-19,49.764286,49.799999,48.125713,48.405716,42.899853,283903200
2011-01-20,48.061428,48.328571,47.160000,47.525715,42.119934,191197300
2011-01-21,47.681427,47.840000,46.661430,46.674286,41.365353,188600300
2011-01-24,46.695713,48.207142,46.674286,48.207142,42.723858,143670800
2011-01-25,48.047142,48.777142,47.795715,48.771427,43.223957,136717000
2011-01-26,48.994286,49.371429,48.785713,49.121429,43.534161,126718900
2011-01-27,49.111427,49.241428,48.975716,49.029999,43.453121,71256500
2011-01-28,49.167141,49.200001,47.647144,48.014286,42.552940,148014300
2011-01-31,47.971428,48.577145,47.757141,48.474285,42.960613,94311700
2011-02-01,48.757141,49.378571,48.711430,49.290001,43.683544,106658300
2011-02-02,49.207142,49.321430,49.078571,49.188572,43.593651,64738800
2011-02-03,49.114285,49.177143,48.364285,49.062859,43.482239,98449400
2011-02-04,49.091427,49.528572,49.072857,49.500000,43.869663,80460100
2011-02-07,49.698570,50.464287,49.662857,50.268570,44.550812,121255400
2011-02-08,50.525715,50.788570,50.307144,50.742859,44.971138,95260200
2011-02-09,50.741428,51.285713,50.695713,51.165714,45.345901,120686300
2011-02-10,51.055714,51.428570,49.714287,50.648571,44.887592,232137500
2011-02-11,50.678570,51.114285,50.505714,50.978573,45.180054,91893200
2011-02-14,50.970001,51.354286,50.958572,51.311428,45.475052,77604100
2011-02-15,51.312859,51.424286,51.078571,51.414288,45.566208,71043700
2011-02-16,51.542858,52.128571,51.500000,51.875713,45.975155,120289400
2011-02-17,51.035713,51.467144,50.931427,51.185715,45.363632,132645800
2011-02-18,51.244286,51.357143,49.931427,50.080002,44.383694,204014300
2011-02-22,48.878571,49.342857,48.245716,48.372856,42.870735,218138900
2011-02-23,48.395714,49.234287,48.372856,48.945713,43.378414,167963600
2011-02-24,49.145714,49.307144,48.338570,48.982857,43.411339,124975200
2011-02-25,49.322857,49.775715,49.257141,49.737144,44.079834,95004700
2011-02-28,50.177143,50.721428,50.160000,50.458572,44.719208,100768500
2011-03-01,50.781429,50.817142,49.668571,49.901428,44.225426,114034200
2011-03-02,49.994286,50.621429,49.771427,50.302856,44.581203,150647700
2011-03-03,51.027142,51.398571,50.845715,51.365715,45.523163,125197100
2011-03-04,51.438572,51.470001,51.107143,51.428570,45.578861,113316700
2011-03-07,51.628571,51.667141,50.187141,50.765713,44.991405,136530800
2011-03-08,50.701427,51.057144,50.321430,50.822857,45.042046,89079200
2011-03-09,50.669998,50.680000,50.085712,50.352856,44.625511,113326500
2011-03-10,49.874287,49.967144,49.271427,49.524284,43.891182,126884800
2011-03-11,49.332859,50.331429,49.285713,50.284286,44.564735,117770100
2011-03-14,50.454285,50.925713,50.187141,50.508572,44.763515,108989300
2011-03-15,48.871429,49.691429,48.585712,49.347141,43.734180,180270300
2011-03-16,48.857143,49.000000,46.608570,47.144287,41.781895,290502800
2011-03-17,48.118572,48.515713,47.237144,47.805714,42.368084,164855600
2011-03-18,48.161430,48.314285,47.142857,47.238571,41.865459,188303500
2011-03-21,47.998573,48.534286,47.894287,48.471428,42.958080,102350500
2011-03-22,48.937141,48.945713,48.448570,48.742859,43.198647,81480700
